DATE,RealizedReturns10Factor,RealizedReturnsCTEF,RealizedReturnsKNN,RealizedReturnsNN
2005-01-01,[-0.0472797],[-0.02986997],[-0.08140001],[-0.08340281]
2005-02-01,[ 0.0506087],[ 0.0073],[ 0.01319998],[ 0.00523677]
2005-03-01,[-0.06524635],[-0.06303356],[-0.0168],[-0.10019986]
2005-04-01,[-0.05900006],[-0.13262648],[-0.12402278],[-0.02410242]
2005-05-01,[ 0.17070312],[ 0.04472425],[ 0.15149999],[ 0.07920115]
2005-06-01,[-0.02729998],[ 0.01658458],[ 0.04890012],[ 0.05780002]
2005-07-01,[ 0.05422194],[ 0.1209],[ 0.10610012],[ 0.15469888]
2005-08-01,[-0.0035],[ 0.0003181],[-0.0738],[ 0.01779735]
2005-09-01,[ 0.07309986],[ 0.05446039],[ 0.01380016],[ 0.01208612]
2005-10-01,[-0.02820006],[-0.0187],[-0.00540023],[-0.07569903]
2005-11-01,[ 0.09729994],[ 0.05729906],[ 0.0417],[ 0.02691235]
2005-12-01,[ 0.0378],[ 0.02433857],[ 0.0057],[-0.04829968]
2006-01-01,[ 0.17179999],[ 0.07882756],[ 0.1397],[ 0.06340203]
2006-02-01,[-0.05559993],[ 0.03646569],[ 0.0091],[ 0.04859607]
2006-03-01,[ 0.10629998],[ 0.01805944],[ 0.03519999],[ 0.06740015]
2006-04-01,[ 0.03380005],[-0.0147585],[-0.03669986],[ 0.0200998]
2006-05-01,[-0.10409999],[-0.08509992],[-0.08299999],[-0.09859014]
2006-06-01,[-0.08116876],[-0.0183],[-0.0257],[-0.0098704]
2006-07-01,[-0.10273374],[-0.06599998],[-0.02100003],[ 0.01751789]
2006-08-01,[ 0.0203],[ 0.03211293],[ 0.07700013],[ 0.03519322]
2006-09-01,[ 0.00798888],[-0.00374383],[ 0.00329994],[-0.01580111]
2006-10-01,[ 0.04314371],[ 0.04935561],[ 0.0287],[ 0.05978858]
2006-11-01,[ 0.05187923],[-0.02010316],[ 0.03810002],[-0.03249957]
2006-12-01,[ 0.02879999],[ 0.0054],[ 0.0654],[ 0.0403711]
2007-01-01,[ 0.04068831],[ 0.00208022],[ 0.0076],[ 0.03349605]
2007-02-01,[-0.00495004],[-0.018375],[ 0.0242],[ 0.03699884]
2007-03-01,[ 0.0198],[ 0.00110468],[-0.029],[-0.01229876]
2007-04-01,[-0.00539997],[ 0.0265],[ 0.03430004],[-0.0052982]
2007-05-01,[ 0.04370107],[ 0.00139228],[ 0.01709999],[ 0.07044995]
2007-06-01,[-0.02330009],[-0.02897283],[-0.0336],[ 0.19339587]
2007-07-01,[-0.0611956],[-0.08036445],[-0.10049993],[-0.06759987]
2007-08-01,[ 0.0701],[-0.01999997],[-0.04659999],[ 0.03729997]
2007-09-01,[ 0.0976],[ 0.02543716],[-0.04040031],[ 0.03480051]
2007-10-01,[ 0.07831546],[-0.03709998],[ 0.0106],[ 0.03729653]
2007-11-01,[-0.1833],[-0.11025945],[-0.1278],[-0.04310072]
2007-12-01,[-0.00749993],[ 0.0133],[-0.00259999],[ 0.00780033]
2008-01-01,[-0.07520064],[-0.12287732],[-0.1219],[-0.05070064]
2008-02-01,[ 0.044],[ 0.01356154],[-0.01716747],[ 0.01870026]
2008-03-01,[-0.00270132],[-0.03787963],[ 0.00429987],[-0.03820068]
2008-04-01,[ 0.02090001],[ 0.04663594],[ 0.0796],[ 0.02369958]
2008-05-01,[ 0.07169994],[-0.02179998],[-0.0031],[-0.01309751]
2008-06-01,[-0.02970114],[-0.10921692],[-0.0093],[ 0.01219639]
2008-07-01,[-0.02280037],[-0.07591082],[-0.07859999],[-0.06329675]
2008-08-01,[ 0.02489986],[ 0.0543302],[ 0.00989999],[ 0.03479863]
2008-09-01,[-0.05379997],[-0.10081767],[-0.1302],[-0.15849612]
2008-10-01,[-0.20700001],[-0.24471357],[-0.39309999],[-0.33580316]
2008-11-01,[-0.09351482],[-0.12933482],[-0.1972],[-0.23669906]
2008-12-01,[ 0.136],[-0.06069977],[ 0.12269997],[ 0.06519817]
2009-01-01,[ 0.07599991],[-0.12009999],[-0.10525001],[-0.0868081]
2009-02-01,[-0.17032986],[-0.08396563],[-0.13810001],[-0.06110268]
2009-03-01,[ 0.12065833],[ 0.0248],[ 0.00850001],[ 0.22389835]
2009-04-01,[ 0.53090002],[ 0.2242603],[ 0.4424999],[ 0.17070018]
2009-05-01,[ 0.19199401],[ 0.0699001],[ 0.18069996],[ 0.13369956]
2009-06-01,[-0.0049394],[ 0.02136453],[ 0.10709999],[ 0.01040002]
